Study;Domain;Rating
Aba et al (2012);Randomization_of_tanks;
Adedeji et al (2017);Randomization_of_tanks;
Aguilar et al (2010);Randomization_of_tanks;
Espinoza-Ortega et al  (2024);Randomization_of_tanks;
Gao et al (2019);Randomization_of_tanks;
Guroy et al (2006);Randomization_of_tanks;
He et al (2020);Randomization_of_tanks;
He et al (2022);Randomization_of_tanks;
Li et al (2018a);Randomization_of_tanks;
Li et al (2018b);Randomization_of_tanks;
Liu et al (2023);Randomization_of_tanks;
Llanes Iglesias (2021);Randomization_of_tanks;
Ma et al (2016);Randomization_of_tanks;
Pokniak et al (1999);Randomization_of_tanks;
Rout & Bandyopadhyay (1999);Randomization_of_tanks;
Schwertner et al (2003);Randomization_of_tanks;
Shan et al (2017);Randomization_of_tanks;
Shi et al (2016);Randomization_of_tanks;
Soares et al (2021);Randomization_of_tanks;
Venou et al (2009);Randomization_of_tanks;
Vens-Cappell (1984);Randomization_of_tanks;
Wan et al (2022);Randomization_of_tanks;
Xu et al (2017);Randomization_of_tanks;
Aba et al (2012);Allocation_concealment;
Adedeji et al (2017);Allocation_concealment;
Aguilar et al (2010);Allocation_concealment;
Espinoza-Ortega et al  (2024);Allocation_concealment;
Gao et al (2019);Allocation_concealment;
Guroy et al (2006);Allocation_concealment;
He et al (2020);Allocation_concealment;
He et al (2022);Allocation_concealment;
Li et al (2018a);Allocation_concealment;
Li et al (2018b);Allocation_concealment;
Liu et al (2023);Allocation_concealment;
Llanes Iglesias (2021);Allocation_concealment;
Ma et al (2016);Allocation_concealment;
Pokniak et al (1999);Allocation_concealment;
Rout & Bandyopadhyay (1999);Allocation_concealment;
Schwertner et al (2003);Allocation_concealment;
Shan et al (2017);Allocation_concealment;
Shi et al (2016);Allocation_concealment;
Soares et al (2021);Allocation_concealment;
Venou et al (2009);Allocation_concealment;
Vens-Cappell (1984);Allocation_concealment;
Wan et al (2022);Allocation_concealment;
Xu et al (2017);Allocation_concealment;
Aba et al (2012);Blinding_of_feeders/assessors;
Adedeji et al (2017);Blinding_of_feeders/assessors;
Aguilar et al (2010);Blinding_of_feeders/assessors;
Espinoza-Ortega et al  (2024);Blinding_of_feeders/assessors;
Gao et al (2019);Blinding_of_feeders/assessors;
Guroy et al (2006);Blinding_of_feeders/assessors;
He et al (2020);Blinding_of_feeders/assessors;
He et al (2022);Blinding_of_feeders/assessors;
Li et al (2018a);Blinding_of_feeders/assessors;
Li et al (2018b);Blinding_of_feeders/assessors;
Liu et al (2023);Blinding_of_feeders/assessors;
Llanes Iglesias (2021);Blinding_of_feeders/assessors;
Ma et al (2016);Blinding_of_feeders/assessors;
Pokniak et al (1999);Blinding_of_feeders/assessors;
Rout & Bandyopadhyay (1999);Blinding_of_feeders/assessors;
Schwertner et al (2003);Blinding_of_feeders/assessors;
Shan et al (2017);Blinding_of_feeders/assessors;
Shi et al (2016);Blinding_of_feeders/assessors;
Soares et al (2021);Blinding_of_feeders/assessors;
Venou et al (2009);Blinding_of_feeders/assessors;
Vens-Cappell (1984);Blinding_of_feeders/assessors;
Wan et al (2022);Blinding_of_feeders/assessors;
Xu et al (2017);Blinding_of_feeders/assessors;
Aba et al (2012);Baseline_equivalence;
Adedeji et al (2017);Baseline_equivalence;
Aguilar et al (2010);Baseline_equivalence;
Espinoza-Ortega et al  (2024);Baseline_equivalence;
Gao et al (2019);Baseline_equivalence;
Guroy et al (2006);Baseline_equivalence;
He et al (2020);Baseline_equivalence;
He et al (2022);Baseline_equivalence;
Li et al (2018a);Baseline_equivalence;
Li et al (2018b);Baseline_equivalence;
Liu et al (2023);Baseline_equivalence;
Llanes Iglesias (2021);Baseline_equivalence;
Ma et al (2016);Baseline_equivalence;
Pokniak et al (1999);Baseline_equivalence;
Rout & Bandyopadhyay (1999);Baseline_equivalence;
Schwertner et al (2003);Baseline_equivalence;
Shan et al (2017);Baseline_equivalence;
Shi et al (2016);Baseline_equivalence;
Soares et al (2021);Baseline_equivalence;
Venou et al (2009);Baseline_equivalence;
Vens-Cappell (1984);Baseline_equivalence;
Wan et al (2022);Baseline_equivalence;
Xu et al (2017);Baseline_equivalence;
Aba et al (2012);Incomplete_outcome_data;
Adedeji et al (2017);Incomplete_outcome_data;
Aguilar et al (2010);Incomplete_outcome_data;
Espinoza-Ortega et al  (2024);Incomplete_outcome_data;
Gao et al (2019);Incomplete_outcome_data;
Guroy et al (2006);Incomplete_outcome_data;
He et al (2020);Incomplete_outcome_data;
He et al (2022);Incomplete_outcome_data;
Li et al (2018a);Incomplete_outcome_data;
Li et al (2018b);Incomplete_outcome_data;
Liu et al (2023);Incomplete_outcome_data;
Llanes Iglesias (2021);Incomplete_outcome_data;
Ma et al (2016);Incomplete_outcome_data;
Pokniak et al (1999);Incomplete_outcome_data;
Rout & Bandyopadhyay (1999);Incomplete_outcome_data;
Schwertner et al (2003);Incomplete_outcome_data;
Shan et al (2017);Incomplete_outcome_data;
Shi et al (2016);Incomplete_outcome_data;
Soares et al (2021);Incomplete_outcome_data;
Venou et al (2009);Incomplete_outcome_data;
Vens-Cappell (1984);Incomplete_outcome_data;
Wan et al (2022);Incomplete_outcome_data;
Xu et al (2017);Incomplete_outcome_data;
Aba et al (2012);Selective_reporting;
Adedeji et al (2017);Selective_reporting;
Aguilar et al (2010);Selective_reporting;
Espinoza-Ortega et al  (2024);Selective_reporting;
Gao et al (2019);Selective_reporting;
Guroy et al (2006);Selective_reporting;
He et al (2020);Selective_reporting;
He et al (2022);Selective_reporting;
Li et al (2018a);Selective_reporting;
Li et al (2018b);Selective_reporting;
Liu et al (2023);Selective_reporting;
Llanes Iglesias (2021);Selective_reporting;
Ma et al (2016);Selective_reporting;
Pokniak et al (1999);Selective_reporting;
Rout & Bandyopadhyay (1999);Selective_reporting;
Schwertner et al (2003);Selective_reporting;
Shan et al (2017);Selective_reporting;
Shi et al (2016);Selective_reporting;
Soares et al (2021);Selective_reporting;
Venou et al (2009);Selective_reporting;
Vens-Cappell (1984);Selective_reporting;
Wan et al (2022);Selective_reporting;
Xu et al (2017);Selective_reporting;
Aba et al (2012);Feed_preparation_reporting;
Adedeji et al (2017);Feed_preparation_reporting;
Aguilar et al (2010);Feed_preparation_reporting;
Espinoza-Ortega et al  (2024);Feed_preparation_reporting;
Gao et al (2019);Feed_preparation_reporting;
Guroy et al (2006);Feed_preparation_reporting;
He et al (2020);Feed_preparation_reporting;
He et al (2022);Feed_preparation_reporting;
Li et al (2018a);Feed_preparation_reporting;
Li et al (2018b);Feed_preparation_reporting;
Liu et al (2023);Feed_preparation_reporting;
Llanes Iglesias (2021);Feed_preparation_reporting;
Ma et al (2016);Feed_preparation_reporting;
Pokniak et al (1999);Feed_preparation_reporting;
Rout & Bandyopadhyay (1999);Feed_preparation_reporting;
Schwertner et al (2003);Feed_preparation_reporting;
Shan et al (2017);Feed_preparation_reporting;
Shi et al (2016);Feed_preparation_reporting;
Soares et al (2021);Feed_preparation_reporting;
Venou et al (2009);Feed_preparation_reporting;
Vens-Cappell (1984);Feed_preparation_reporting;
Wan et al (2022);Feed_preparation_reporting;
Xu et al (2017);Feed_preparation_reporting;
Aba et al (2012);Water_quality_control;
Adedeji et al (2017);Water_quality_control;
Aguilar et al (2010);Water_quality_control;
Espinoza-Ortega et al  (2024);Water_quality_control;
Gao et al (2019);Water_quality_control;
Guroy et al (2006);Water_quality_control;
He et al (2020);Water_quality_control;
He et al (2022);Water_quality_control;
Li et al (2018a);Water_quality_control;
Li et al (2018b);Water_quality_control;
Liu et al (2023);Water_quality_control;
Llanes Iglesias (2021);Water_quality_control;
Ma et al (2016);Water_quality_control;
Pokniak et al (1999);Water_quality_control;
Rout & Bandyopadhyay (1999);Water_quality_control;
Schwertner et al (2003);Water_quality_control;
Shan et al (2017);Water_quality_control;
Shi et al (2016);Water_quality_control;
Soares et al (2021);Water_quality_control;
Venou et al (2009);Water_quality_control;
Vens-Cappell (1984);Water_quality_control;
Wan et al (2022);Water_quality_control;
Xu et al (2017);Water_quality_control;
Aba et al (2012);Tank_replication_and_pseudoreplication;
Adedeji et al (2017);Tank_replication_and_pseudoreplication;
Aguilar et al (2010);Tank_replication_and_pseudoreplication;
Espinoza-Ortega et al  (2024);Tank_replication_and_pseudoreplication;
Gao et al (2019);Tank_replication_and_pseudoreplication;
Guroy et al (2006);Tank_replication_and_pseudoreplication;
He et al (2020);Tank_replication_and_pseudoreplication;
He et al (2022);Tank_replication_and_pseudoreplication;
Li et al (2018a);Tank_replication_and_pseudoreplication;
Li et al (2018b);Tank_replication_and_pseudoreplication;
Liu et al (2023);Tank_replication_and_pseudoreplication;
Llanes Iglesias (2021);Tank_replication_and_pseudoreplication;
Ma et al (2016);Tank_replication_and_pseudoreplication;
Pokniak et al (1999);Tank_replication_and_pseudoreplication;
Rout & Bandyopadhyay (1999);Tank_replication_and_pseudoreplication;
Schwertner et al (2003);Tank_replication_and_pseudoreplication;
Shan et al (2017);Tank_replication_and_pseudoreplication;
Shi et al (2016);Tank_replication_and_pseudoreplication;
Soares et al (2021);Tank_replication_and_pseudoreplication;
Venou et al (2009);Tank_replication_and_pseudoreplication;
Vens-Cappell (1984);Tank_replication_and_pseudoreplication;
Wan et al (2022);Tank_replication_and_pseudoreplication;
Xu et al (2017);Tank_replication_and_pseudoreplication;
